date,food,exercise,weight
11/7/2021,2638,0,
11/8/2021,2491,514,208.4
11/9/2021,2649,559,
11/10/2021,2671,814,207.2
11/11/2021,1743,0,
11/12/2021,3360,438,205
11/13/2021,3456,259,
11/14/2021,2731,133,
11/15/2021,3004,879,207.2
11/16/2021,2641,337,
11/17/2021,2827,720,206.4
11/18/2021,3123,703,
11/19/2021,3306,671,207
11/20/2021,3071,563,
11/21/2021,2873,129,
11/22/2021,3339,1145,207.4
11/23/2021,2705,392,
11/24/2021,3030,242,205.4
11/25/2021,4843,670,
11/26/2021,2297,0,
11/27/2021,4584,0,
11/28/2021,2496,0,
11/29/2021,2393,785,209.2
11/30/2021,2733,794,
12/1/2021,3162,0,206.4
12/2/2021,2537,463,
12/3/2021,3225,937,
12/4/2021,2981,804,
12/5/2021,2731,0,
12/6/2021,2752,1055,208.2
12/7/2021,2458,739,
12/8/2021,2828,0,205.2
12/9/2021,2649,257,
12/10/2021,2847,951,206.8
12/11/2021,3242,0,
12/12/2021,2159,0,
12/13/2021,4071,1894,207
12/14/2021,3112,483,
12/15/2021,3089,1010,205.4
12/16/2021,3114,435,
12/17/2021,2579,881,206
12/18/2021,3376,0,
12/19/2021,2827,0,
12/20/2021,2661,1010,207.2
12/21/2021,3262,725,
12/22/2021,2562,715,206
12/23/2021,2688,1019,
12/24/2021,3557,129,205
12/25/2021,3566,129,
12/26/2021,3297,222,
12/27/2021,2808,254,205.4
12/28/2021,2730,381,
12/29/2021,1905,244,205
12/30/2021,2512,269,
12/31/2021,2316,325,204.6
1/1/2022,2361,0,
1/2/2022,2847,211,
1/3/2022,2487,882,205.4
1/4/2022,3169,1092,
1/5/2022,2408,555,204
1/6/2022,2042,723,
1/7/2022,2944,765,203
1/8/2022,3081,0,
1/9/2022,2045,101,
1/10/2022,2357,311,203.8
1/11/2022,2523,778,
1/12/2022,2588,827,201.6
1/13/2022,2702,807,
1/14/2022,3111,529,201.8
1/15/2022,4188,0,
1/16/2022,2577,121,
1/17/2022,2502,319,205
1/18/2022,2631,395,
1/19/2022,2449,904,202.8
1/20/2022,4583,476,
1/21/2022,2677,829,202.8
1/22/2022,3732,128,
1/23/2022,2702,0,
1/24/2022,2382,364,205.2
1/25/2022,2383,637,
1/26/2022,2555,247,203.2
1/27/2022,3057,856,
1/28/2022,3148,982,202.4
1/29/2022,2798,0,
1/30/2022,2857,126,
1/31/2022,2568,1132,
2/1/2022,3701,789,
2/2/2022,2201,0,203
2/3/2022,2469,143,
2/4/2022,4179,1193,202.2
2/5/2022,2715,0,
2/6/2022,3100,854,
2/7/2022,2742,533,206.2
2/8/2022,2715,469,
2/9/2022,3430,956,206
2/10/2022,2947,403,
2/11/2022,2648,405,204.4
2/12/2022,3426,50,
2/13/2022,3927,120,
2/14/2022,2242,898,208.2
2/15/2022,2480,816,
2/16/2022,2559,257,202.4
2/17/2022,3012,383,
2/18/2022,2847,638,203
2/19/2022,3979,0,
2/20/2022,2658,180,
2/21/2022,3450,863,206.6
2/22/2022,2723,0,
2/23/2022,2597,754,
2/24/2022,3266,0,
2/25/2022,5184,802,204.4
2/26/2022,2832,77,
2/27/2022,2934,0,
2/28/2022,3547,364,206.8
3/1/2022,2854,324,
3/2/2022,2228,120,205.4
3/3/2022,2663,692,
3/4/2022,3065,911,204.8
3/5/2022,2827,715,
3/6/2022,4317,1553,
3/7/2022,2342,296,207.6
3/8/2022,3244,121,
3/9/2022,2474,469,203
3/10/2022,2374,0,
3/11/2022,2665,179,
3/12/2022,2319,0,
3/13/2022,2486,406,
3/14/2022,2280,288,204.6
3/15/2022,2851,691,
3/16/2022,3395,397,203
3/17/2022,3022,420,
3/18/2022,2338,320,204
3/19/2022,3304,276,
3/20/2022,2728,1006,
3/21/2022,2797,908,205
3/22/2022,2208,163,
3/23/2022,2568,523,202.6
3/24/2022,2748,685,
3/25/2022,2551,0,204.2
3/26/2022,3836,0,
3/27/2022,2164,0,
3/28/2022,2448,98,206
3/29/2022,3256,734,
3/30/2022,3118,879,203.4
3/31/2022,2855,720,
4/1/2022,2823,620,
4/2/2022,3841,0,
4/3/2022,2946,0,
4/4/2022,3235,0,206.4
4/5/2022,3013,0,
4/6/2022,2832,766,205.4
4/7/2022,2192,585,
4/8/2022,2702,47,203.4
4/9/2022,3689,0,
4/10/2022,4748,840,
4/11/2022,2246,233,207.8
4/12/2022,2548,413,
4/13/2022,2229,852,204.2
4/14/2022,2266,675,
4/15/2022,2088,536,202.4
4/16/2022,3868,0,
4/17/2022,3620,179,
4/18/2022,2373,771,207
4/19/2022,2258,767,
4/20/2022,2372,801,201.6
4/21/2022,2345,548,
4/22/2022,2224,923,202.2
4/23/2022,4340,736,
4/24/2022,3023,209,
4/25/2022,1784,270,204
4/26/2022,2119,344,
4/27/2022,2761,967,201
4/28/2022,2402,732,
4/29/2022,3568,383,200.4
4/30/2022,2964,0,
5/1/2022,1977,348,
5/2/2022,2328,454,203
5/3/2022,2418,459,
5/4/2022,2354,605,200.8
5/5/2022,2389,541,
5/6/2022,2362,121,200
5/7/2022,4134,0,
5/8/2022,3697,1313,
5/9/2022,2492,940,206
5/10/2022,2302,601,
5/11/2022,2111,393,200.4
5/12/2022,2512,738,
5/13/2022,2496,521,199.2
5/14/2022,3568,255,
5/15/2022,3013,2253,
5/16/2022,2521,793,202.2
5/17/2022,2546,669,
5/18/2022,3212,713,199.6
5/19/2022,3334,121,
5/20/2022,2539,299,201.6
5/21/2022,3080,298,
5/22/2022,2843,288,
5/23/2022,2737,288,205.2
5/24/2022,2830,736,
5/25/2022,2498,309,200.2
5/26/2022,2719,128,
5/27/2022,3574,120,
5/28/2022,2877,565,
5/29/2022,4286,644,
5/30/2022,2308,299,203.4
5/31/2022,3435,281,
6/1/2022,2914,130,201.6
6/2/2022,2869,632,
6/3/2022,2890,821,202.6
6/4/2022,3547,1999,
6/5/2022,3268,0,
6/6/2022,2589,457,
6/7/2022,2599,625,
6/8/2022,2692,179,201.2
6/9/2022,3772,506,
6/10/2022,3470,0,201.2
6/11/2022,3063,365,
6/12/2022,3530,0,
6/13/2022,3344,125,205.4
6/14/2022,2612,402,
6/15/2022,2452,425,202
6/16/2022,3819,188,
6/17/2022,2179,403,202.8
6/18/2022,3494,450,
6/19/2022,2956,103,
6/20/2022,3104,0,
6/21/2022,2585,546,
6/22/2022,2219,622,202.6
6/23/2022,3136,696,
6/24/2022,3370,103,202
6/25/2022,3370,0,
6/26/2022,2345,0,
6/27/2022,3085,122,205.4
6/28/2022,2632,405,
6/29/2022,2595,126,202.8
6/30/2022,3300,599,
7/1/2022,3025,0,204
7/2/2022,2985,0,
7/3/2022,3023,959,
7/4/2022,2548,0,
7/5/2022,2973,0,204.1
7/6/2022,3015,510,
7/7/2022,2570,159,
7/8/2022,2749,184,205.1
7/9/2022,3687,0,
7/10/2022,2766,0,
7/11/2022,2411,290,206.9
7/12/2022,3632,736,
7/13/2022,2634,291,205.1
7/14/2022,2361,114,
7/15/2022,2688,839,
7/16/2022,3860,0,205
7/17/2022,3787,0,
7/18/2022,2152,568,209.9
7/19/2022,2566,616,
7/20/2022,2476,638,204.6
7/21/2022,1954,302,
7/22/2022,2779,119,206.1
7/23/2022,2963,1704,
7/24/2022,3142,0,
7/25/2022,3816,528,208
7/26/2022,2506,594,
7/27/2022,2285,526,
7/28/2022,2275,506,
7/29/2022,3314,233,204.6
7/30/2022,4164,0,
7/31/2022,4970,198,
8/1/2022,4877,319,
8/2/2022,3927,519,
8/3/2022,3574,361,
8/4/2022,3312,500,
8/5/2022,2607,0,
8/6/2022,2743,0,
8/7/2022,3545,0,209.9
8/8/2022,2037,255,
8/9/2022,2322,466,
8/10/2022,2019,0,205.8
8/11/2022,2426,411,
8/12/2022,2663,252,205.5
8/13/2022,3418,1741,
8/14/2022,2804,1934,
8/15/2022,2520,573,208.1
8/16/2022,2244,296,
8/17/2022,2180,221,205.2
8/18/2022,2090,285,
8/19/2022,2428,404,206.5
8/20/2022,2446,229,
8/21/2022,3654,400,
8/22/2022,1934,338,208
8/23/2022,2180,634,
8/24/2022,2116,606,205.4
8/25/2022,1981,348,
8/26/2022,2201,487,204.1
8/27/2022,2960,884,
8/28/2022,2618,0,
8/29/2022,2152,363,205.4
8/30/2022,2207,525,
8/31/2022,2296,481,203.9
9/1/2022,2585,769,
9/2/2022,2705,585,203.7
9/3/2022,4353,177,
9/4/2022,3036,903,
9/5/2022,2627,121,207.9
9/6/2022,1840,680,
9/7/2022,2426,661,206.2
9/8/2022,1858,499,
9/9/2022,2298,330,204.8
9/10/2022,3647,987,
9/11/2022,4102,229,
9/12/2022,2013,558,207.9
9/13/2022,2046,601,
9/14/2022,1888,517,203.3
9/15/2022,2133,684,
9/16/2022,2556,576,204.1
9/17/2022,2762,898,
9/18/2022,2689,184,
9/19/2022,2143,278,204.1
9/20/2022,2262,371,
9/21/2022,2274,409,203.4
9/22/2022,2091,422,
9/23/2022,2619,631,202.7
9/24/2022,3054,1022,
9/25/2022,2799,182,
9/26/2022,3115,396,
9/27/2022,2135,0,
9/28/2022,2553,0,
9/29/2022,2578,97,
9/30/2022,2863,308,
10/1/2022,4056,0,203.7
10/2/2022,2774,0,
10/3/2022,2364,454,206.9
10/4/2022,2469,270,
10/5/2022,2365,427,203.9
10/6/2022,2220,249,
10/7/2022,2252,529,204.9
10/8/2022,3827,0,
10/9/2022,2222,0,
10/10/2022,2245,307,207
10/11/2022,2720,243,
10/12/2022,3344,0,205.2
10/13/2022,2269,565,
10/14/2022,2553,655,204.8
10/15/2022,4077,844,
10/16/2022,2255,143,
10/17/2022,2208,520,207.8
10/18/2022,2410,543,
10/19/2022,2504,555,203.7
10/20/2022,2395,612,
10/21/2022,2454,668,203.9
10/22/2022,4400,0,
10/23/2022,3259,0,
10/24/2022,2011,539,207.7
10/25/2022,2600,514,
10/26/2022,2345,403,203.6
10/27/2022,2295,431,
10/28/2022,3205,481,203
10/29/2022,3103,0,
10/30/2022,2454,298,
10/31/2022,2623,161,205.6
11/1/2022,2517,377,
11/2/2022,2199,422,203.8
11/3/2022,2551,124,
11/4/2022,2558,522,203.4
11/5/2022,2553,430,
11/6/2022,2979,0,
11/7/2022,2189,598,207
11/8/2022,3122,495,
11/9/2022,2223,570,
11/10/2022,2438,575,
11/11/2022,3762,0,203.5
11/12/2022,4168,0,
11/13/2022,3143,0,
11/14/2022,2336,554,206.8
11/15/2022,2144,577,
11/16/2022,2597,589,203.9
11/17/2022,3266,368,
11/18/2022,2435,634,207.3
11/19/2022,3472,0,
11/20/2022,3028,0,
11/21/2022,2707,667,210.2
11/22/2022,2253,539,
11/23/2022,2259,401,205.7
11/24/2022,3235,0,
11/25/2022,2735,0,
11/26/2022,3206,274,
11/27/2022,3926,0,
11/28/2022,2560,433,210.4
11/29/2022,2589,276,
11/30/2022,3008,751,206.4
12/1/2022,2842,0,
12/2/2022,3237,244,207.3
12/3/2022,3175,563,
12/4/2022,2487,0,
12/5/2022,2452,238,209.5
12/6/2022,2969,498,
12/7/2022,2406,404,207
12/8/2022,2159,0,
12/9/2022,2701,515,206.8
12/10/2022,3496,0,
12/11/2022,2189,0,
12/12/2022,2429,244,208.7
12/13/2022,3623,534,
12/14/2022,3132,120,206.7
12/15/2022,2382,228,
12/16/2022,3115,445,208
12/17/2022,2711,0,
12/18/2022,2623,0,
12/19/2022,3008,122,208.3
12/20/2022,3072,528,
12/21/2022,3407,239,
12/22/2022,2474,352,
12/23/2022,3422,0,207.5
12/24/2022,3950,260,
12/25/2022,3723,0,
12/26/2022,1994,133,211.6
12/27/2022,2383,0,
12/28/2022,2769,0,209.1
12/29/2022,2827,0,
12/30/2022,2542,119,
12/31/2022,3025,0,208.2
1/1/2023,1925,136,
1/2/2023,2849,406,
1/3/2023,2174,246,
1/4/2023,2574,451,208.6
1/5/2023,2280,528,
1/6/2023,2932,240,207.6
1/7/2023,2897,1128,
1/8/2023,2903,0,
1/9/2023,2910,794,210.5
1/10/2023,2353,401,
1/11/2023,2534,519,208
1/12/2023,2944,0,
1/13/2023,2601,624,208.1
1/14/2023,2520,0,
1/15/2023,3596,0,
1/16/2023,2403,765,210.4
1/17/2023,1963,243,
1/18/2023,2071,371,206.9
1/19/2023,2836,164,
1/20/2023,2892,319,208
1/21/2023,3938,0,
1/22/2023,2744,584,
1/23/2023,2216,633,210.5
1/24/2023,2010,248,
1/25/2023,2251,645,
1/26/2023,2263,543,206.7
1/27/2023,2218,477,205.7
1/28/2023,2618,0,
1/29/2023,2374,0,
1/30/2023,2719,1053,207.8
1/31/2023,2284,533,
2/1/2023,2120,716,204.9
2/2/2023,2279,416,
2/3/2023,2468,539,205
2/4/2023,3644,0,
2/5/2023,2248,1194,
2/6/2023,2141,123,208.8
2/7/2023,2423,591,
2/8/2023,2269,407,
2/9/2023,2417,507,204.3
2/10/2023,3158,625,205.5
2/11/2023,2869,0,
2/12/2023,2459,784,
2/13/2023,2803,242,207.2
2/14/2023,3644,98,
2/15/2023,1958,369,206.1
2/16/2023,2651,173,
2/17/2023,2852,354,
2/18/2023,2989,0,205.6
2/19/2023,2988,0,
2/20/2023,2379,422,208.1
2/21/2023,2881,549,
2/22/2023,1155,573,
2/23/2023,2547,312,
2/24/2023,2856,506,204.9
2/25/2023,4926,234,
2/26/2023,2118,0,
2/27/2023,2217,176,207.7
2/28/2023,2400,538,
3/1/2023,2048,311,205.1
3/2/2023,2390,375,
3/3/2023,1933,0,204.1
3/4/2023,3909,90,
3/5/2023,2253,1493,
3/6/2023,2087,368,206.2
3/7/2023,2341,444,
3/8/2023,2274,458,203
3/9/2023,2220,406,
3/10/2023,2319,445,204.6
3/11/2023,2753,145,
3/12/2023,2419,0,
3/13/2023,2394,292,205.8
3/14/2023,2070,415,
3/15/2023,3609,527,203.3
3/16/2023,1759,526,
3/17/2023,2899,786,203.8
3/18/2023,4014,0,
3/19/2023,2832,0,
3/20/2023,1940,557,206.4
3/21/2023,2190,411,
3/22/2023,1679,246,205.9
3/23/2023,1796,320,
3/24/2023,1976,251,203.3
3/25/2023,3249,117,
3/26/2023,4059,1086,
3/27/2023,2049,366,206.9
3/28/2023,1882,251,
3/29/2023,2289,651,203.6
3/30/2023,2299,543,
3/31/2023,2672,309,202.7
4/1/2023,3232,0,
4/2/2023,3887,0,
4/3/2023,2367,246,209.1
4/4/2023,2318,249,
4/5/2023,2194,249,203.8
4/6/2023,2153,249,
4/7/2023,1688,253,203.4
4/8/2023,4193,383,
4/9/2023,4639,0,
4/10/2023,1943,527,207.3
4/11/2023,1573,578,
4/12/2023,1751,557,202.4
4/13/2023,1436,251,
4/14/2023,3151,0,202.1
4/15/2023,4642,0,
4/16/2023,2561,0,
4/17/2023,2046,423,205.2
4/18/2023,2246,370,
4/19/2023,2303,442,202.6
4/20/2023,2405,251,
4/21/2023,2476,525,201.9
4/22/2023,5180,559,
4/23/2023,2318,0,
4/24/2023,2348,247,202.7
4/25/2023,2399,407,
4/26/2023,2489,499,201.4
4/27/2023,2336,505,
4/28/2023,2548,625,202.3
4/29/2023,2584,0,
4/30/2023,3554,208,
5/1/2023,2308,524,203.9
5/2/2023,2237,405,
5/3/2023,2419,863,200
5/4/2023,2139,525,
5/5/2023,1981,246,200
5/6/2023,3548,0,
5/7/2023,2781,260,
5/8/2023,2163,527,204
5/9/2023,3530,1001,
5/10/2023,2200,514,202.2
5/11/2023,2523,677,
5/12/2023,2085,335,202.9
5/13/2023,3448,0,
5/14/2023,4640,0,
5/15/2023,2687,519,206.4
5/16/2023,2335,0,
5/17/2023,2506,563,203.7
5/18/2023,2737,403,
5/19/2023,4311,553,203.5
5/20/2023,3668,0,
5/21/2023,2687,0,
5/22/2023,2370,552,204.1
5/23/2023,2492,401,
5/24/2023,2140,625,203.7
5/25/2023,2607,402,
5/26/2023,2579,523,202.7
5/27/2023,2758,242,
5/28/2023,1925,1127,
5/29/2023,4448,293,203.6
5/30/2023,2098,55,
5/31/2023,2861,424,204
6/1/2023,2384,552,
6/2/2023,2437,497,202.6
6/3/2023,3150,0,
6/4/2023,4250,0,
6/5/2023,2002,565,207.3
6/6/2023,2824,544,
6/7/2023,2502,614,203.7
6/8/2023,2535,401,
6/9/2023,2388,606,202.7
6/10/2023,3628,0,
6/11/2023,3995,78,
6/12/2023,2598,0,206.1
6/13/2023,2275,0,
6/14/2023,2440,435,202.8
6/15/2023,2090,345,
6/16/2023,2217,316,202.6
6/17/2023,3816,0,
6/18/2023,2693,0,
6/19/2023,2295,255,205.6
6/20/2023,2583,485,
6/21/2023,2574,513,201.2
6/22/2023,2417,327,
6/23/2023,2455,263,200.5
6/24/2023,4470,0,
6/25/2023,4573,1721,
6/26/2023,4031,1032,
6/27/2023,4689,684,
6/28/2023,4074,2461,
6/29/2023,3402,2485,
6/30/2023,2371,0,
7/1/2023,2575,70,
7/2/2023,3113,0,
7/3/2023,2625,0,
7/4/2023,3015,635,
7/5/2023,2094,311,204.8
7/6/2023,2759,580,
7/7/2023,2608,260,204.3
7/8/2023,3500,0,
7/9/2023,3254,0,
7/10/2023,2847,261,209.4
7/11/2023,2707,245,
7/12/2023,2483,278,
7/13/2023,2624,0,
7/14/2023,2557,406,204.9
7/15/2023,2741,0,
7/16/2023,2115,0,
7/17/2023,2282,259,
7/18/2023,3268,0,206.1
7/19/2023,3072,777,206.5
7/20/2023,2299,273,
7/21/2023,2416,289,205.6
7/22/2023,2897,823,
7/23/2023,3953,254,
7/24/2023,1455,335,209.2
7/25/2023,2032,351,
7/26/2023,2065,574,204.7
7/27/2023,2157,553,
7/28/2023,1513,256,204.7
7/29/2023,3009,0,
7/30/2023,2934,0,
7/31/2023,1966,282,207.8
8/1/2023,1875,354,
8/2/2023,1809,364,203.5
8/3/2023,1816,524,
8/4/2023,3398,0,203.4
8/5/2023,2508,2615,
8/6/2023,4614,126,
8/7/2023,2704,1949,206.6
8/8/2023,2030,1040,
8/9/2023,2517,0,209.2
8/10/2023,2707,0,
8/11/2023,3055,0,
8/12/2023,3235,0,
8/13/2023,3494,0,
8/14/2023,2875,0,210.2
8/15/2023,2112,467,
8/16/2023,1664,454,205.8
8/17/2023,2316,662,
8/18/2023,2373,244,205.8
8/19/2023,3622,466,
8/20/2023,3534,0,
8/21/2023,1907,700,207.7
8/22/2023,2039,1056,
8/23/2023,2213,652,
8/24/2023,2002,246,
8/25/2023,1784,246,203.4
8/26/2023,3389,0,
8/27/2023,2890,600,
8/28/2023,1718,932,205.8
8/29/2023,1997,716,
8/30/2023,2261,1024,202.8
8/31/2023,3131,468,
9/1/2023,2322,974,203.9
9/2/2023,3522,0,
9/3/2023,3243,0,
9/4/2023,2363,0,208.6
9/5/2023,2392,590,
9/6/2023,2286,0,207.4
9/7/2023,2147,0,
9/8/2023,1910,246,203.3
9/9/2023,2728,0,
9/10/2023,2700,0,
9/11/2023,2203,0,204
9/12/2023,2006,0,
9/13/2023,3001,246,203
9/14/2023,2126,383,
9/15/2023,1829,127,203.5
9/16/2023,2995,0,
9/17/2023,3935,0,
9/18/2023,1748,121,208.7
9/19/2023,2114,287,
9/20/2023,2217,302,204.8
9/21/2023,2460,318,
9/22/2023,3597,435,205.1
9/23/2023,2859,869,
9/24/2023,3385,0,
9/25/2023,2295,0,208.1
9/26/2023,1803,382,
9/27/2023,1837,0,203.7
9/28/2023,2843,0,
9/29/2023,1973,511,204.3
9/30/2023,2822,1146,
10/1/2023,2699,0,
10/2/2023,2093,242,208.8
10/3/2023,2244,383,
10/4/2023,2146,377,205.4
10/5/2023,1992,565,
10/6/2023,2783,252,204.8
10/7/2023,3625,830,
10/8/2023,3536,0,
10/9/2023,2510,245,207.2
10/10/2023,1955,0,
10/11/2023,2893,431,204.6
10/12/2023,2102,482,
10/13/2023,2209,495,203.9
10/14/2023,2423,0,
10/15/2023,2359,0,
10/16/2023,2020,582,206.6
10/17/2023,1803,465,
10/18/2023,2252,182,203.8
10/19/2023,2123,301,
10/20/2023,2313,0,203.8
10/21/2023,2905,0,
10/22/2023,2392,0,
10/23/2023,2418,458,205.8
10/24/2023,2187,502,
10/25/2023,1963,510,205
10/26/2023,2973,528,
10/27/2023,1828,0,204.7
10/28/2023,2889,0,
10/29/2023,3855,0,
10/30/2023,1789,360,208.1
10/31/2023,2397,514,
11/1/2023,2425,433,204.4
11/2/2023,1871,498,
11/3/2023,2529,1669,204.3
11/4/2023,2859,263,
11/5/2023,2883,0,
11/6/2023,2290,273,211.6
11/7/2023,2675,601,
11/8/2023,2026,516,207.8
11/9/2023,2299,405,
11/10/2023,3570,540,
11/11/2023,1787,188,
11/12/2023,3402,0,
11/13/2023,1936,521,208.2
11/14/2023,1784,417,
11/15/2023,2176,471,205.8
11/16/2023,2236,315,
11/17/2023,2394,0,205
11/18/2023,2171,0,
11/19/2023,2438,910,
11/20/2023,1901,543,206.1
11/21/2023,2045,553,
11/22/2023,2466,243,204.4
11/23/2023,4850,0,
11/24/2023,3675,0,
11/25/2023,3512,0,
11/26/2023,3174,0,
11/27/2023,2435,255,209.9
11/28/2023,2625,778,
11/29/2023,2070,186,205.8
11/30/2023,2547,402,
12/1/2023,1463,306,207.7
12/2/2023,2773,0,
12/3/2023,2394,0,
12/4/2023,2909,0,205.7
12/5/2023,2579,0,
12/6/2023,2349,0,206.1
12/7/2023,2512,183,
12/8/2023,2956,180,206.9
12/9/2023,2319,0,
12/10/2023,2126,0,
12/11/2023,1772,247,207.1
12/12/2023,2447,0,
12/13/2023,2322,297,203.7
12/14/2023,3398,0,
12/15/2023,2739,367,206.7
12/16/2023,2685,413,
12/17/2023,2119,0,
12/18/2023,2159,0,202.8
12/19/2023,2101,299,
12/20/2023,3109,351,204.7
12/21/2023,2484,243,
12/22/2023,2210,0,
12/23/2023,3067,0,
12/24/2023,3151,0,
12/25/2023,3253,0,
12/26/2023,2629,0,
12/27/2023,2477,122,206.4
12/28/2023,4514,0,
12/29/2023,2244,0,
12/30/2023,2725,725,206.9
12/31/2023,1892,0,
1/1/2024,2722,252,206.1
1/2/2024,2118,252,
1/3/2024,1999,369,207.6
1/4/2024,2131,251,
1/5/2024,1497,330,203
1/6/2024,2381,659,
1/7/2024,2408,0,
1/8/2024,2037,395,205.5
1/9/2024,1561,0,
1/10/2024,2007,345,203.3
1/11/2024,2720,440,
1/12/2024,1819,240,203.5
